# k/h, pb22, pb2delta, pb2theta, pbs2delta, pbs2theta, pb2s2, pbs22, sigma23
1.874949494949494921e-01 3.612779648922780780e+02 2.791610015971882603e+02 1.249722865729195291e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 3.968520990991069031e-01
1.925353535353535317e-01 3.705927841473960029e+02 2.803026968048225740e+02 1.270336212083933276e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.087637269475244417e-01
1.975757575757575712e-01 3.797431515246804565e+02 2.821221255879494265e+02 1.298285463573643597e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.206101797441832435e-01
2.026161616161616108e-01 3.887063486361873856e+02 2.831937999550847849e+02 1.319411602363470593e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.323896755540361236e-01
2.076565656565656504e-01 3.975120612288848747e+02 2.849134257761368758e+02 1.347562640290136073e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.440998045253432003e-01
2.126969696969696899e-01 4.061427291329293325e+02 2.849517829190231168e+02 1.359421028821892037e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.557390121544641626e-01
2.177373737373737295e-01 4.145970903404674459e+02 2.852373296166268233e+02 1.374139678340346222e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.673059329373067672e-01
2.227777777777777690e-01 4.229017335765993835e+02 2.862095716761524500e+02 1.395971954095253977e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.787988794880853605e-01
2.278181818181818086e-01 4.310368234947990800e+02 2.853364956299961932e+02 1.399552445725679490e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 4.903348847231139285e-01
2.328585858585858481e-01 4.389696575522028752e+02 2.844020605666942174e+02 1.402649734344591934e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.015578571707466349e-01
2.378989898989898877e-01 4.467821308933881141e+02 2.839564613140541383e+02 1.410665950832671172e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.128221472424788763e-01
2.429393939393939550e-01 4.544302552311766021e+02 2.817060403360315490e+02 1.411568266282480693e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.240079214353239312e-01
2.479797979797979945e-01 4.619075803646165355e+02 2.817464823458853402e+02 1.413792776129971571e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.351147164274250301e-01
2.530202020202020341e-01 4.692403806001690896e+02 2.826337429393897764e+02 1.435395355480886508e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.461413672075110526e-01
2.580606060606060459e-01 4.764278644572199255e+02 2.818156702355601624e+02 1.440017368555556061e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.570876814112292186e-01
2.631010101010101132e-01 4.834744812325084808e+02 2.808652737254751059e+02 1.443341553247240938e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.679527259827209518e-01
2.681414141414141250e-01 4.903737333849916809e+02 2.800842100856150978e+02 1.448422680049341977e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.787361618118748163e-01
2.731818181818181923e-01 4.971221766077352413e+02 2.790495323234603688e+02 1.451036390551764157e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 5.894371858354311433e-01
2.782222222222222041e-01 5.037834557715665369e+02 2.781488563140163706e+02 1.455106436335723004e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.000559476970130923e-01
2.832626262626262714e-01 5.102769865682995487e+02 2.769821008118026953e+02 1.456331546992545327e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.105917724517960776e-01
2.883030303030302832e-01 5.166677636709752051e+02 2.759647927307273676e+02 1.459139269594172958e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.210445266763556793e-01
2.933434343434343505e-01 5.229206125057669396e+02 2.746733609244154195e+02 1.459083005969960141e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.314140506523588936e-01
2.983838383838383623e-01 5.290674165440129855e+02 2.736033779916122626e+02 1.461155483949116842e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.418735197161138384e-01
3.034242424242424296e-01 5.350775839207936997e+02 2.723443499305668070e+02 1.461302200870525496e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.519019174912672465e-01
3.084646464646464414e-01 5.409729710258536670e+02 2.714059545879185293e+02 1.464551098044990454e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.620201590565739647e-01
3.135050505050505087e-01 5.467380338472298718e+02 2.703460902628087297e+02 1.466467166229502084e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.720546735146287753e-01
3.185454545454545205e-01 5.524024966925334184e+02 2.664005063837612397e+02 1.439534402658183012e+02 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00 6.820050022044074067e-01
